quizName,trainingId,trainingName,maxScores,minScores,difficultyLevel,questionFile
Machine Learning Basics Quiz,Training_88,Voice really read feel.,100,50,moderate,questions5.csv
Backend Development with Node.js Quiz,Training_89,Himself job account whatever professional daughter.,100,50,moderate,questions1.csv
Data Science Essentials Quiz,Training_90,Arm ten project old arrive.,100,50,moderate,questions2.csv
Frontend Development with React Quiz,Training_91,Strategy physical attention choice hot wide.,100,50,easy,questions2.csv
Introduction to JavaScript Quiz,Training_92,Evidence far too fast likely art.,100,50,hard,questions1.csv
Frontend Development with React Quiz,Training_93,Similar party take thought.,100,50,moderate,questions3.csv
Cybersecurity Essentials Quiz,Training_94,Catch add although might.,100,50,moderate,questions5.csv
Web Development Fundamentals Quiz,Training_95,Yard more building night indicate war.,100,50,moderate,questions5.csv
Backend Development with Node.js Quiz,Training_96,Will race oil political sense positive trip man.,100,50,hard,questions5.csv
Backend Development with Node.js Quiz,Training_97,Could collection factor stay play.,100,50,hard,questions3.csv
Data Science Essentials Quiz,Training_98,One outside decide writer discussion economy girl.,100,50,hard,questions5.csv
Data Science Essentials Quiz,Training_99,Notice simply art civil.,100,50,easy,questions1.csv
