userId,trainingId,trainerId,trainingStatus,assessment_percentage_done,assessment_completion_time_in_hours,scoreAchievedInQuiz,quizPassedOrFailed,ratingGivenByTrainer
Emp_124,Training_42,,pending,0,,,,5
Emp_43,Training_1,,pending,0,,,,1
Emp_100,Training_94,,pending,0,,,,3
Emp_55,Training_55,,completed,100,44,24,failed,1
Emp_57,Training_43,,completed,100,51,73,passed,4
Emp_82,Training_54,,completed,100,22,76,passed,5
Emp_117,Training_42,,pending,0,,,,1
Emp_100,Training_76,,pending,0,,,,1
Emp_38,Training_10,,completed,100,48,25,failed,1
Emp_107,Training_52,,completed,100,9,55,passed,4
Emp_123,Training_63,,pending,0,,,,5
Emp_175,Training_92,,completed,100,13,11,failed,3
Emp_153,Training_91,,in_progress,10,,,,4
Emp_130,Training_59,,pending,0,,,,2
Emp_189,Training_93,,pending,0,,,,4
Emp_173,Training_39,,in_progress,46,,,,2
Emp_50,Training_34,,pending,0,,,,2
Emp_1,Training_39,,pending,0,,,,5
Emp_105,Training_59,,completed,100,3,5,failed,1
Emp_83,Training_58,,in_progress,82,,,,3
Emp_66,Training_90,,completed,100,36,37,failed,4
Emp_32,Training_75,,in_progress,64,,,,2
Emp_41,Training_50,,completed,100,38,60,passed,4
Emp_145,Training_16,,completed,100,49,62,passed,3
Emp_149,Training_30,,pending,0,,,,1
Emp_77,Training_86,,in_progress,87,,,,5
Emp_153,Training_75,,pending,0,,,,5
Emp_91,Training_26,,pending,0,,,,3
Emp_67,Training_28,,in_progress,64,,,,3
Emp_165,Training_60,,completed,100,4,51,passed,1
Emp_128,Training_8,,pending,0,,,,3
Emp_137,Training_85,,completed,100,28,93,passed,5
Emp_65,Training_10,,pending,0,,,,1
Emp_175,Training_86,,in_progress,59,,,,3
Emp_144,Training_48,,completed,100,14,45,failed,5
Emp_76,Training_92,,completed,100,13,97,passed,2
Emp_69,Training_96,,in_progress,8,,,,4
Emp_140,Training_26,,completed,100,35,23,failed,1
Emp_139,Training_95,,in_progress,18,,,,2
Emp_1,Training_21,,pending,0,,,,5
Emp_137,Training_30,,pending,0,,,,3
Emp_15,Training_67,,completed,100,45,36,failed,5
Emp_147,Training_23,,pending,0,,,,4
Emp_195,Training_58,,pending,0,,,,4
Emp_7,Training_92,,pending,0,,,,1
Emp_61,Training_32,,in_progress,28,,,,5
Emp_92,Training_47,,completed,100,59,56,passed,1
Emp_151,Training_76,,completed,100,8,41,failed,3
Emp_164,Training_65,,pending,0,,,,5
Emp_39,Training_67,,pending,0,,,,4
Emp_26,Training_33,,completed,100,44,66,passed,2
Emp_77,Training_81,,pending,0,,,,2
Emp_51,Training_79,,pending,0,,,,3
Emp_7,Training_44,,completed,100,43,67,passed,2
Emp_198,Training_92,,pending,0,,,,5
Emp_192,Training_21,,pending,0,,,,2
Emp_102,Training_64,,completed,100,39,17,failed,5
Emp_79,Training_96,,pending,0,,,,5
Emp_38,Training_57,,in_progress,29,,,,2
Emp_196,Training_83,,in_progress,53,,,,3
Emp_184,Training_50,,completed,100,29,58,passed,4
Emp_164,Training_51,,completed,100,38,71,passed,4
Emp_8,Training_38,,completed,100,47,9,failed,4
Emp_21,Training_26,,pending,0,,,,5
Emp_78,Training_45,,completed,100,49,23,failed,4
Emp_142,Training_77,,pending,0,,,,1
Emp_181,Training_28,,pending,0,,,,4
Emp_69,Training_2,,in_progress,12,,,,2
Emp_150,Training_26,,completed,100,8,13,failed,5
Emp_87,Training_5,,completed,100,21,83,passed,2
Emp_127,Training_29,,completed,100,36,54,passed,2
Emp_190,Training_11,,in_progress,44,,,,2
Emp_195,Training_76,,completed,100,27,66,passed,4
Emp_35,Training_83,,completed,100,28,12,failed,2
Emp_60,Training_15,,completed,100,12,89,passed,3
Emp_130,Training_95,,pending,0,,,,3
Emp_169,Training_97,,pending,0,,,,2
Emp_22,Training_86,,completed,100,52,60,passed,5
