quizName,trainingId,trainingName,maxScores,minScores,difficultyLevel,questionFile
Backend Development with Node.js Quiz,Training_28,Market public society trip.,100,50,hard,questions5.csv
Data Science Essentials Quiz,Training_29,Figure this particular wall yet million within.,100,50,hard,questions4.csv
Frontend Development with React Quiz,Training_30,Security music call majority attorney role receive.,100,50,moderate,questions3.csv
Backend Development with Node.js Quiz,Training_31,Writer bag capital art huge.,100,50,moderate,questions5.csv
Database Management with MongoDB Quiz,Training_32,Identify mother garden know.,100,50,easy,questions2.csv
Database Management with MongoDB Quiz,Training_33,Account woman edge dark save professor citizen.,100,50,hard,questions3.csv
Introduction to Python Quiz,Training_34,Hand table recently face likely.,100,50,hard,questions4.csv
Introduction to Python Quiz,Training_35,Allow under use.,100,50,easy,questions5.csv
Introduction to JavaScript Quiz,Training_36,Pattern woman rest create turn.,100,50,hard,questions2.csv
Cybersecurity Essentials Quiz,Training_37,Rather card no though provide turn hand by.,100,50,easy,questions5.csv
Frontend Development with React Quiz,Training_38,Since perhaps step.,100,50,easy,questions2.csv
Machine Learning Basics Quiz,Training_39,Per nation show week.,100,50,hard,questions3.csv
Cybersecurity Essentials Quiz,Training_40,How happen generation study data according.,100,50,moderate,questions4.csv
Cloud Computing Fundamentals Quiz,Training_41,Walk and thousand more choice democratic.,100,50,easy,questions2.csv
Cybersecurity Essentials Quiz,Training_42,Them perhaps military step boy down player.,100,50,easy,questions2.csv
Cybersecurity Essentials Quiz,Training_43,Decide task system hard.,100,50,easy,questions1.csv
Cloud Computing Fundamentals Quiz,Training_44,Book serious serious popular play provide wrong soldier.,100,50,hard,questions4.csv
Frontend Development with React Quiz,Training_45,Star cold management hundred offer.,100,50,easy,questions5.csv
Database Management with MongoDB Quiz,Training_46,Whatever policy large if culture degree.,100,50,easy,questions1.csv
Machine Learning Basics Quiz,Training_47,Event thought woman else beautiful.,100,50,moderate,questions3.csv
Introduction to Python Quiz,Training_48,Foot kitchen majority watch already.,100,50,moderate,questions2.csv
Backend Development with Node.js Quiz,Training_49,Foreign join throw way year morning peace.,100,50,moderate,questions2.csv
Introduction to JavaScript Quiz,Training_50,National watch low down exist.,100,50,easy,questions1.csv
Web Development Fundamentals Quiz,Training_51,Open fund south eight.,100,50,easy,questions1.csv
Data Science Essentials Quiz,Training_52,Ok anyone other where get.,100,50,hard,questions2.csv
Cybersecurity Essentials Quiz,Training_53,Example war less middle only myself box.,100,50,moderate,questions2.csv
Frontend Development with React Quiz,Training_54,Reality order control water relate cover.,100,50,hard,questions4.csv
Introduction to Python Quiz,Training_55,Collection for suffer nor tough practice present.,100,50,hard,questions4.csv
Database Management with MongoDB Quiz,Training_56,Behind else card interview race style three.,100,50,easy,questions5.csv
Data Science Essentials Quiz,Training_57,Choose determine mission low official ground.,100,50,moderate,questions2.csv
Cloud Computing Fundamentals Quiz,Training_58,Stuff blue program apply.,100,50,hard,questions5.csv
Cloud Computing Fundamentals Quiz,Training_59,Bed realize large treatment strong million picture.,100,50,hard,questions1.csv
Data Science Essentials Quiz,Training_60,Player pattern personal yet.,100,50,moderate,questions4.csv
Cloud Computing Fundamentals Quiz,Training_61,Pull need eat old.,100,50,easy,questions3.csv
Frontend Development with React Quiz,Training_62,Ready life safe lawyer back.,100,50,hard,questions5.csv
Backend Development with Node.js Quiz,Training_63,Prevent stop culture beat.,100,50,moderate,questions1.csv
Introduction to Python Quiz,Training_64,Themselves age oil likely break owner.,100,50,hard,questions4.csv
Database Management with MongoDB Quiz,Training_65,Very miss really red power resource best.,100,50,easy,questions3.csv
Web Development Fundamentals Quiz,Training_66,View increase want career realize unit score.,100,50,moderate,questions1.csv
Introduction to Python Quiz,Training_67,Last team suffer owner.,100,50,easy,questions4.csv
Frontend Development with React Quiz,Training_68,I human ago day.,100,50,moderate,questions5.csv
Database Management with MongoDB Quiz,Training_69,Help picture give from it.,100,50,easy,questions1.csv
Frontend Development with React Quiz,Training_70,Read knowledge realize level must next.,100,50,easy,questions1.csv
Frontend Development with React Quiz,Training_71,By future despite particularly view lead.,100,50,easy,questions1.csv
Machine Learning Basics Quiz,Training_72,Member ever few until wife represent.,100,50,easy,questions4.csv
Cybersecurity Essentials Quiz,Training_73,Case degree teacher onto as thank.,100,50,easy,questions4.csv
Web Development Fundamentals Quiz,Training_74,Item expect bad toward job cultural recognize.,100,50,easy,questions5.csv
Introduction to Python Quiz,Training_75,Water somebody church result themselves particularly amount.,100,50,hard,questions1.csv
Introduction to Python Quiz,Training_76,No clearly machine development subject.,100,50,moderate,questions4.csv
Cybersecurity Essentials Quiz,Training_77,Myself up scientist democratic ten ready.,100,50,easy,questions5.csv
Data Science Essentials Quiz,Training_78,Onto result enjoy involve sing picture far tend.,100,50,easy,questions3.csv
Introduction to Python Quiz,Training_79,Fact pull budget television direction any blue.,100,50,hard,questions2.csv
Cloud Computing Fundamentals Quiz,Training_80,Party half night spend country red message.,100,50,moderate,questions4.csv
Introduction to Python Quiz,Training_81,Area before state audience feel.,100,50,hard,questions2.csv
Introduction to JavaScript Quiz,Training_82,Actually require manager worry.,100,50,moderate,questions5.csv
Frontend Development with React Quiz,Training_83,Animal message true clearly.,100,50,easy,questions4.csv
Backend Development with Node.js Quiz,Training_84,Can nor nice from apply wish.,100,50,easy,questions2.csv
Introduction to JavaScript Quiz,Training_85,Cause eat child may other red.,100,50,easy,questions1.csv
Data Science Essentials Quiz,Training_86,True live can performance seem exist.,100,50,moderate,questions4.csv
Web Development Fundamentals Quiz,Training_87,Continue former physical smile.,100,50,easy,questions2.csv
Introduction to JavaScript Quiz,Training_88,Tax and when after.,100,50,hard,questions5.csv
Introduction to Python Quiz,Training_89,Any responsibility age at.,100,50,hard,questions4.csv
Cloud Computing Fundamentals Quiz,Training_90,Tonight brother quality none speak strong idea.,100,50,hard,questions3.csv
Web Development Fundamentals Quiz,Training_91,Alone federal American yourself.,100,50,easy,questions1.csv
Introduction to JavaScript Quiz,Training_92,Care well science perform that office successful.,100,50,hard,questions2.csv
Web Development Fundamentals Quiz,Training_93,Check history know evening movie save magazine.,100,50,easy,questions4.csv
Frontend Development with React Quiz,Training_94,More free worker important wait why.,100,50,hard,questions4.csv
Cloud Computing Fundamentals Quiz,Training_95,Major house just.,100,50,hard,questions2.csv
Data Science Essentials Quiz,Training_96,Task major word scene though.,100,50,hard,questions4.csv
Introduction to Python Quiz,Training_97,Offer left high management agent they police.,100,50,hard,questions5.csv
Machine Learning Basics Quiz,Training_98,National walk similar example.,100,50,moderate,questions3.csv
Data Science Essentials Quiz,Training_99,Military however color little form world.,100,50,hard,questions5.csv
